| date       | 0000-0009 | 0010-0019 | 0020-0029 | 0030-0039 | 0040-0049 | 0050-0059 | 0060-0069 | 0070-0079 | 0080-0089 | 0090-0099 |
| 13/08/2021 |           |           |           |           |           |           |           |           |           |           |
| 16/08/2021 |           |           |           |           |           | 0056      |           |           |           |           |
| 18/08/2021 |           |           |           |           |           |           |           |           |           |           |
| 20/08/2021 |           |           |           |           |           |           |           |           |           |           |
| 25/08/2021 |           |           |           |           |           |           |           |           |           |           |
| 27/08/2021 |           |           |           |           |           |           |           |           |           |           |
| 30/08/2021 |           |           |           |           |           |           |           |           |           |           |
| 01/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 02/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 03/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 04/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 06/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 07/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 08/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 09/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 10/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 11/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 13/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 14/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 15/09/2021 |           | 0015      |           |           |           |           |           |           |           |           |
| 16/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 17/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 18/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 20/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 21/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 22/09/2021 |           |           |           |           |           |           |           |           | 0087      |           |
| 23/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 24/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 25/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 27/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 28/09/2021 |           | 0012      |           |           |           |           |           |           |           |           |
| 29/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 30/09/2021 |           |           |           |           |           |           |           |           |           |           |
| 01/10/2021 |           |           |           |           |           |           |           | 0076      |           |           |
| 04/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 05/10/2021 | 0000      |           |           |           |           |           |           |           |           |           |
| 06/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 07/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 08/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 09/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 11/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 12/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 13/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 14/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 15/10/2021 |           |           |           |           |           |           |           |           | 0081      |           |
| 16/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 18/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 19/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 20/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 21/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 22/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 23/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 25/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 26/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 27/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 28/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 29/10/2021 |           |           |           |           |           |           |           |           |           |           |
| 30/10/2021 |           |           |           |           |           |           |           |           | 0085      |           |
| 01/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 02/11/2021 |           |           |           |           |           |           |           |           |           | 0096      |
| 03/11/2021 | 0002      |           |           |           |           |           |           |           |           |           |
| 04/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 05/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 06/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 08/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 09/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 10/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 11/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 12/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 13/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 15/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 16/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 17/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 18/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 19/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 20/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 22/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 23/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 24/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 25/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 26/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 27/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 29/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 30/11/2021 |           |           |           |           |           |           |           |           |           |           |
| 01/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 02/12/2021 |           |           |           |           |           |           |           |           |           | 0096      |
| 03/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 04/12/2021 |           | 0014      |           |           |           |           |           |           |           |           |
| 06/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 07/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 08/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 09/12/2021 |           |           |           |           |           |           | 0066      |           |           |           |
| 10/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 11/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 13/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 14/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 15/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 16/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 17/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 18/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 20/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 21/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 22/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 23/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 24/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 25/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 27/12/2021 |           |           |           |           |           |           |           | 0077      |           |           |
| 28/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 29/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 30/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 31/12/2021 |           |           |           |           |           |           |           |           |           |           |
| 01/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 03/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 04/01/2022 |           |           | 0028      |           |           |           |           |           |           |           |
| 05/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 06/01/2022 |           |           |           |           | 0041      |           |           |           |           |           |
| 07/01/2022 |           |           | 0024      |           |           |           |           |           |           |           |
| 08/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 10/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 11/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 12/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 13/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 14/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 15/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 17/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 18/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 19/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 20/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 21/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 22/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 24/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 25/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 27/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 28/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 29/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 31/01/2022 |           |           |           |           |           |           |           |           |           |           |
| 01/02/2022 |           |           |           |           |           |           |           |           |           |           |
| 02/02/2022 |           |           |           |           |           |           |           |           |           |           |
| 03/02/2022 |           |           |           |           |           |           |           |           |           |           |
| 04/02/2022 |           |           |           |           | 0040      |           |           |           |           |           |
| 05/02/2022 |           |           |           |           |           |           |           |           |           |           |
| 07/02/2022 |           |           |           |           |           |           |           | 0077      |           |           |
| 08/02/2022 |           |           |           |           |           |           |           |           |           |           |
